# Generated=20150326-11:55:16, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,NumberOfThreads,InputFile,LengthOfText,ElapsedTimeSec,Instructions,LLCReadMisses,LLCWriteMisses
101,psa,12,/home/unsj/datasets/dna.4MB,4194303,0.820090,30341480789,1380870,1288828
102,psa,12,/home/unsj/datasets/dna.4MB,4194303,0.768291,28905730131,1298021,1281286
103,psa,12,/home/unsj/datasets/proteins.16MB,16777215,2.888034,117170915243,19236338,12031738
104,psa,12,/home/unsj/datasets/proteins.16MB,16777215,2.880628,117159200409,20370299,12038456
105,psa,12,/home/unsj/datasets/proteins.16MB,16777215,2.906894,117195243229,18629461,12041437
106,psa,12,/home/unsj/datasets/dna.4MB,4194303,0.631526,23828515836,1519292,2488366
107,psa,12,/home/unsj/datasets/dna.4MB,4194303,0.624140,23820074964,1495656,2489437
108,psa,12,/home/unsj/datasets/dna.4MB,4194303,0.638606,23880806987,1509302,2492073
109,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.297014,7556985082,132546,865605
110,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.279786,7553822400,128642,853312
111,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.208609,7526087501,120538,847439
112,psa,12,/home/unsj/datasets/dna.64MB,67108863,19.151029,711982253425,302834715,79443938
113,psa,12,/home/unsj/datasets/dna.64MB,67108863,19.582974,712021006829,328230222,79477372
114,psa,12,/home/unsj/datasets/dna.64MB,67108863,19.818322,712108638485,326014642,79532269
115,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.719947,29344756151,200844,208074
116,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.710645,29485652098,152881,162406
117,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.717009,29690159368,153256,184182
118,psa,12,/home/unsj/datasets/dna.64MB,67108863,11.178496,367381081923,351249365,38556134
119,psa,12,/home/unsj/datasets/dna.64MB,67108863,10.897262,367389218050,331074747,38419383
120,psa,12,/home/unsj/datasets/dna.64MB,67108863,10.877617,367365000065,339950020,38518174
121,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.143749,4850224267,152114,517112
122,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.141120,4852332911,146156,502716
123,psa,12,/home/unsj/datasets/proteins.1MB,1048575,0.140676,4876454375,136433,501730
124,psa,12,/home/unsj/datasets/dna.64MB,67108863,14.519901,539254504994,323537045,57132909
125,psa,12,/home/unsj/datasets/dna.64MB,67108863,14.162296,539250648809,317547807,57126621
126,psa,12,/home/unsj/datasets/dna.64MB,67108863,14.193839,539264816117,321196078,57111142
127,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.713219,16670171725,637194,1848249
128,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.490248,16626800187,717224,1820552
129,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.502977,16596379418,789624,1826920
130,psa,12,/home/unsj/datasets/dna.8MB,8388607,2.174079,74145624025,7314812,8304662
131,psa,12,/home/unsj/datasets/dna.8MB,8388607,2.274428,74174745209,7303890,8304243
132,psa,12,/home/unsj/datasets/dna.8MB,8388607,2.035132,74132741010,6984878,8292318
133,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.825130,33287126846,459244,464678
134,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.831054,33483190720,398865,444681
135,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.823737,33006582723,386089,439779
136,psa,12,/home/unsj/datasets/dna.8MB,8388607,1.022780,35283708755,6190916,3191713
137,psa,12,/home/unsj/datasets/dna.8MB,8388607,1.021634,35346151588,6194743,3239960
138,psa,12,/home/unsj/datasets/dna.8MB,8388607,1.200481,42914810137,6105052,3241177
139,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.296484,11233157484,402935,1132902
140,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.300967,11286494394,374431,1130838
141,psa,12,/home/unsj/datasets/proteins.2MB,2097151,0.307795,11247894100,427708,1134806
142,psa,12,/home/unsj/datasets/dna.8MB,8388607,1.387509,52510075599,6515659,5514646
143,psa,12,/home/unsj/datasets/dna.8MB,8388607,1.383684,52512544179,6562583,5491220
144,psa,12,/home/unsj/datasets/dna.8MB,8388607,1.398716,52504450548,6709216,5493516
145,psa,12,/home/unsj/datasets/proteins.32MB,33554431,10.005038,336862895378,80457206,37609068
146,psa,12,/home/unsj/datasets/proteins.32MB,33554431,8.584171,336545387463,78391879,37435307
147,psa,12,/home/unsj/datasets/proteins.32MB,33554431,10.118089,336876953935,80692634,37631073
148,psa,12,/home/unsj/datasets/english.128MB,134217727,150.994963,1760872754310,694625388,174675077
149,psa,12,/home/unsj/datasets/english.128MB,134217727,164.587454,1735922381492,670626621,173828735
150,psa,12,/home/unsj/datasets/english.128MB,134217727,170.207696,1817681358893,673810440,173830344
151,psa,12,/home/unsj/datasets/proteins.32MB,33554431,4.673363,167871658121,74752976,16766662
152,psa,12,/home/unsj/datasets/proteins.32MB,33554431,4.686607,167858803156,87838203,16770500
